product_id,department_id,subdepartment_id,supplier_id,product_name,price,product_description
1,1,1,1,Beer -1 (6 x 12oz),15,
2,1,2,8,Coca-Cola (20 x 12 oz),35,
3,1,3,8,Pepsi (20 x 12oz),33,
4,1,1,1,Beer - 2 (6 x 12oz),12,
5,1,2,8,Water 12x8oz,5,
6,2,1,2,"Fresh Vegetables Box - (Onions, Tomatoes, Bell Pepper, Spinach)",10,"Contains 2lb Onions, 2lb Tomatoes, 3 Bell Pepers, 1 Spinach"
7,2,1,2,"Fresh Fruit Boxes - (Avocado, Bananas, Cranberries, Grapes, Strawberries)",20,"Contains 1 x 1lb Avocado, 6 Bananas, 1 x 1lb Cranberries, 1 x 1lb Grapes, 24 Strawberries"
8,2,2,2,"Lays, Cheetos, Ruffles (box of 30 packs)",50,10 packets each
9,2,3,10,Beyond Burger,4.99,2 x 1/4 lb plant based patties
10,2,4,10,Boneless Chicken breasts,8.99,1lb boneless chicken breast
11,2,1,2,Seedless Watermelon,15,Fresh seedless watermelon
12,2,2,10,"Reeses, Hersheys, M&M Mixed bag (90 count)",24.99,"Mixed bag of 30x Reese, 30x M&Ms, 30x Hersheys kisses"
13,2,3,10,Chicken Tenders,6.99,12oz Packet
14,2,4,10,Pork,9.99,1lb Pork
15,2,3,2,Beyond Breakfast Sausage Spicy,5.39,2 x 1/4 lb plant based sausages
16,3,1,3,Pedigree Adult Dry Dog Food - 33lb ,19.98,"This dry food recipe helps maintain a healthy lifestyle with antioxidants, vitamins, and minerals, in the delicious chicken flavor dogs love
Provides whole grains and helps support healthy digestion"
17,3,1,3,Wag Dry Dog Food with Grains (Chicken/Salmon/Beef and Brown Rice) - 30lb,23.39,Salmon and Brown Rice Dog Food
18,3,2,3,Purina Pro Plan SAVOR Adult Dry Cat Food - 16lb,20,
19,5,1,5,"Sceptre 27-Inch FHD LED Gaming Monitor 75Hz 2X HDMI VGA Build-in Speakers, Ultra Slim Metal Black",299.99,"Blue Light Shift: Blue Light Shift reduces blue light, allowing you to comfortably work, watch, or play applications without straining your eyes.
Up to 75Hz Refresh Rate: With 75Hz refresh rate, images change faster and smoother than the standard, reducing screen tearing.
AMD FreeSync: With AMD FreeSync, gamers enjoy smooth video & seamless on the spot movement in fast-paced games. The graphic card and monitor refresh rates are synchronized to eliminate tearing and stuttering.
Multiple Ports: One VGA and two HDMI ports each accelerate refresh rate up to 75Hz, providing the visual edge you need to defeat any opponent during all of your gaming adventures.
Built in Speakers: Perfectly suited to work & gaming settings, built-in speakers deliver robust & smooth audio while saving space on your desk."
20,5,1,5,"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",192.4,"MediaTek MT8173C (4C, 2x A72 @2.1GHz + 2x A53 @1.7GHz)
14"" HD (1366x768) TN 220nits Anti-glare Display, Non-Touch
Integrated PowerVR GX6250
4GB Soldered LPDDR3-1866
32GB eMMC 5.1"
21,7,4,9,"UCANBE Face Body Paint Set - Athena Painting Palette, 10 Professional Artist Brushes - Large Deep Pan,Ideal for Halloween Cosplay Party SFX Arty Stage Makeup, Non-Toxic Facepaints for All Skin Types",24.99,"Long lasting.
Smooth texture.
Useful Extra Large Pan of Black and White."
22,7,4,9,"Maybelline Fit Me Matte + Poreless Liquid Foundation Makeup, Natural Beige, 1 fl; oz; Oil-Free Foundation",3.15,"Maybelline Fit Me Matte Foundation: For a natural looking medium coverage liquid foundation makeup, look no further; In 40 shades, you'll find a fit for every skin tone; Best for normal to oily skin; refines pores for a natural looking matte finish.
A Shade That Fits Me: Maybelline Fit Me liquid foundation provides coverage for a wide array of skin tones, from Ivory to Mocha; Use as a full face foundation with buildable coverage for a flawless, natural-looking, ""I woke up like this"" finish.
Maybelline Fit Me For A Flawless Face: With Matte + Poreless foundation or Dewy+ Smooth foundation with SPF 18, concealer, finishing powder, bronzer and blush, Maybelline New York Fit Me collection has everything you need to put your best face forward.
Maybelline has what you need to create any look: foundation, bb creams and concealers to create a perfect canvas, eyeshadows, brow pencils and eyeliners for any eye look and lip products, from show stopping matte lipstick to au natural lip balms.
Remove Maybelline Makeup With Micellar Water: Use Garnier Micellar Water as a gentle makeup remover at night, and as a facial cleanser in the morning to prep skin for Maybelline makeup."
23,5,1,5,"Mini PC Stick 8GB DDR3L 128GB ROM Ιntel Atom X5-Z8350 Processor Windows 10 Pro Mini Computer Support 4K HD, 2.4G/5G Dual Band WiFi, Bluetooth 4.2, Auto Power on Windows Desktop Stick",169.8,"【Ιntel Computer Stick】The pc stick Equiped with Quad-Cores Ιntel Atom X5-Z8350 processor (Up to 1.92 GHz) and Ιntel HD Graphics 400(Up to 500 MHz). Arranging Windows 10 Pro (64-bit) in groups supports to run the operating system and play 4K full HD video smoothly. Enjoy your light office and Home theater just now.
【Sufficient Memory & Storage】This mini pc has 8GB DDR3L 128 eMMC supporting to run multiple programs stably at the same time. The use of office software and video conferencing are both right. It also can be expanded the storage with a TF card up to 256GB(not include). Provide more capacity to store your own programs, files or audio video.
【Small Form & Lightweight】The size of this windows stick(3.9 x 1.5 x 0.5 inches) is smaller than your hand and portable. It equipped with heat sink fan to keep the computer stick a cool work entertainment but lower noise. These thoughtful designs mean less power consumptioncan and meet your deeply needs.
【Wireless Connections & Ports Details】This mini computer was built-in 2.4G/5G dual band WiFi and support Bluetooth 4.2, which could be connected to wireless keyboard, mouse, etc. Equiped with 1x USB 2.0, 1x USB 3.0(Up to 100M/s), 1x HDMI, 1x micro TF card slot(Up to 128GB), 1x DC power port.
【Your Intimate Personal PC】The computer stick has other functions such as Auto power on, RTC Wake, in order to enhance the sense of experience. About after-sales sevice, We offer lifetime technical support, 12 months quality assurance and all day customer service. "
24,7,4,9,"Dermablend Leg and Body Makeup, with SPF 25. Skin Perfecting Body Foundation for Flawless Legs with a Smooth, Even Tone Finish, 3.4 Fl. Oz.",24.99,"Medium to full coverage body and leg makeup with sunscreen. Cover up scars, varicose veins, spider veins, stretch marks, bruises and other imperfections. Lightweight, natural looking finish."
25,7,4,9,Magic Effects Powder-to-Cream Concealer,29.99,"This breakthrough concealer uses powder-to-cream technology to give you flawless coverage for dark circles, age spots & redness."
26,7,4,9,"Banana Powder, Anti-Shine Powder, Makeup Setting Powder, D-Shine by Dermaflage, 7g/.24oz",34.55,"Banana Powder controls shine, absorbs oil throughout the day while minimizing pores and fine lines.
Makeup Setting Powder for long wear. Keeps makeup in place without looking cakey.
Corrects discoloration with a golden tone to match any skin tone for a flawless finish.
Sensitive skin powder: NO parabens, talc, paraffins, petrolatum, mineral oil or synthetic fragrances.
Powder for fine lines, wrinkles and pores. Get an even complexion all day."
27,2,4,10,"Fyffes, Organic Bananas, One Banded Bunch (5 ct)",3.49,"One bunch of five organic bananas banded
Keep bananas at a cool room temperature and keep away from direct sunlight
Good Source of Vitamin B-6 and Potassium"
28,2,4,10,"Grown True Organic Roma Tomato, 1 lb",2.99,"16 oz Organic Romas
Rich in lycopene antioxidants and vitamin C.
Great addition to your favorite recipes to enjoy freshly sliced, diced or cooked
Synonymous with Italy, these smooth-skinned beauties are made for exquisite sauces"
29,2,4,10,"Grown True Organic Zucchini Squash, 3 ct Tray",4.39,"Fresh Zucchini Squash
Certified Organic
Fresh, crisp, and earthy flavor that can be enjoyed both raw and cooked
Great source of daily essential vitamins and minerals"
30,2,4,10,"Sunbird Chicken Lettuce Wraps Seasoning Mix, 1.25 oz",1.04,"Country of origin is United States
This product has No Artificial Ingredients
Item Package Weight: 1.020kg
Item Package Dimension: 21.843cm L x 18.288cm W x 8.128cm H"
31,2,4,10,"La Choy Sliced Chestnuts, 8 Ounce",1.26,"Sliced chestnuts
Each unit count: 8.0"
32,2,4,10,"Birds Eye Chopped Spinach, Frozen Vegetable, 10 OZ",1.49,"One 10 oz pack of Birds Eye Chopped Spinach Frozen Vegetable
Chopped spinach makes it easy to provide your family with vegetables
Flash frozen chopped spinach locks in flavor
Made without anything artificial
Frozen vegetables can be prepared in less than 8 minutes on the stovetop or in a microwave
Stock your freezer with frozen vegetables 365 days a year"
33,2,4,10,"Birds Eye Sauced Garlic Parmesan Broccoli Florets, Frozen 13.25 oz.",4.49,"Contains one 13.25-ounce bag of Birds Eye Sauced Garlic Parmesan Broccoli Florets, Frozen
Dig into delicious whole broccoli florets, lightly breaded and tossed in a zesty garlic Parmesan sauce
Enjoy a tasty spin on broccoli that is ideal as an appetizer or side dish
Quick, convenient and ready to eat in less than 20 minutes
Pairs well with any entrée and provides an excellent source of Vitamin C; see nutrition information for sodium content"
34,5,1,5,The Jackbox Party Pack 3,39.99,"The threequel to the party game phenomenon features FIVE new sense-shattering games!

1) The say-anything sequel Quiplash 2 (3-8 players). Play all new questions or make your own!
2) The deadly quiz show Trivia Murder Party (1-8 players). Match wits with a trivia-obsessed killer.
3) The surprising survey game Guesspionage (2-8 players). Guess the results to silly survey questions.
4) The t-shirt slugfest Tee K.O. (3-8 players). Battle your custom t-shirts to the death!
5) The sneaky trickster game Fakin’ It (3-6 players). One of your friends has something to hide.

Play using your phones, tablets, or computers. No extra controllers needed!
All games support up to 10,000 audience members playing along!
Plus tons of NEW features just for streamers! It’s a digital box full of actual fun!

NOTE: The Jackbox Party Pack 3 is in English only."
35,5,1,5,Grand Theft Auto: Vice City,4.99,"Welcome back to Vice City. Welcome back to the 1980s.

From the decade of big hair, excess and pastel suits comes a story of one man's rise to the top of the criminal pile. Vice City, a huge urban sprawl ranging from the beach to the swamps and the glitz to the ghetto, was one of the most varied, complete and alive digital cities ever created. Combining open-world gameplay with a character driven narrative, you arrive in a town brimming with delights and degradation and given the opportunity to take it over as you choose."
36,7,4,13,Pantoprazole,169.5,"PANTOPRAZOLE (pan TOE pra zole) prevents the production of acid in the stomach. It is used to treat gastroesophageal reflux disease (GERD), inflammation of the esophagus, and Zollinger-Ellison syndrome."
37,7,4,13,Insulin Lispro Kwikpen,174.24,"
INSULIN LISPRO (IN su lin LYE sproe) is a human-made form of insulin. This drug lowers the amount of sugar in your blood. This medicine is a rapid-acting insulin that starts working faster than regular insulin. It will not work as long as regular insulin."
38,7,4,9,Duloxetine,210.6,"DULOXETINE (doo LOX e teen) is used to treat depression, anxiety, and different types of chronic pain."
39,7,4,9,Amlodipine,48.9,AMLODIPINE (am LOE di peen) is a calcium channel blocker. It relaxes your blood vessels and decreases the amount of work the heart has to do. It treats high blood pressure and/or prevents chest pain (also called angina).
40,4,3,4,Throne of Glass eBook Bundle: An 8 Book Bundle,5.99,"When magic has gone from the world and a vicious king rules from his throne of glass, an assassin comes to the castle. She is a prisoner, but if she can defeat twenty-three killers, thieves, and warriors in a competition to find the greatest assassin in the land, she will become the king's champion and earn her freedom. But the evil she encounters in the castle goes deep, and as dark forces gather on the horizon – forces which threaten to destroy her entire world – the assassin must take her place in a fight greater than she could ever have imagined.

This is the epic, heart-stopping fantasy series that has turned #1 New York Times bestselling author Sarah J. Maas into a worldwide phenomenon. Fans new and old will dive into this ebook bundle containing the whole series: Throne of Glass, Crown of Midnight, Heir of Fire, Queen of Shadows, Empire of Storms, Tower of Dawn, the thrilling finale Kingdom of Ash, and the companion anthology The Assassin's Blade."
41,4,3,4,Daughter of Shades (The Venatrix Chronicles Book 1),4.99,"Daughter of Shades is the first breathtaking book in The Venatrix Chronicles YA fantasy series. If you like kick-butt heroines, intriguing worlds of magic, and slow-burn romance then you’ll love Sylvia Mercedes’s action-packed story.
Buy Daughter of Shades today, and journey into a vivid medieval world of honor and deception, rivalry and love, valiant hunters and malevolent spirits from another realm ."
42,4,3,4,Visions of Fate (The Venatrix Chronicles Book 2),4.99,"Return to the world of The Venatrix Chronicles, where deadly spirits lurk in the shadows, good and evil wage eternal war, and secrets threaten to tear a kingdom apart. If you love kick-butt heroines, slow-burn romance, breathtaking action, and stories that leave you with a book hangover for days after you finish . . . you need to discover this dark and deadly series. Prepare to turn pages late into the night!"
43,4,3,4,Dance of Souls (The Venatrix Chronicles Book 4),4.99,"-Still recovering from her deadly encounter with the Phantomwitch, Ayleth finds herself the unwilling guest of the Golden Prince, forced to enjoy his hospitality . .and the not-so-gentle ministrations of Venator Fendrel du Glaive.
-There’s something strange about Fendrel. The way he stares at her is unsettling—as though she’s a monster, as though she’s guilty of some great sin. But didn’t she just defeat one of the worst enemies the kingdom has ever known? Hasn’t she proven her worth?
-And then there’s Terryn, who may be lying to her, who may not be the loyal venator everyone believes him to be. He also looks at her strangely . . . but his gaze makes her heart stop and her pulse race in ways she’s never felt before.
-As the night of Prince Gerard’s wedding approaches and the kingdom gathers to celebrate new beginnings, dark forces close in on all sides. Certain secrets, long buried deep, are bound to emerge at last.
-When they do, will Ayleth have the strength to stand and fight?"
44,4,3,4,Thinblade (Sovereign of the Seven Isles Book 1) ,0.99,"-The air stilled. The room fell silent. A shockwave passed through them. Everyone froze, faces white with fear. The ancient evil had awakened…
-When Alexander loses his brother to an assassin’s arrow, he learns that his family protects an ancient secret and reluctantly finds himself at the center of a war that was supposed to have ended long ago.
-Pursued by dark minions of an ancient enemy, Alexander flees to the mountain city of Glen Morillian where he discovers that he is the heir to the throne of Ruatha, one of the Seven Isles.
-Before he can claim his birthright he must recover the ancient Thinblade. Seven were forged by the first Sovereign of the Seven Isles. Each is as long as a man’s arm, as wide as a man’s thumb and so thin it can’t be seen from the edge.
-Thinblade is the story of Alexander’s quest to find the ancient sword, claim the throne and raise an army capable of standing against an evil that seeks dominion over all of the Seven Isles.
-The Sovereign of the Seven Isles is an epic fantasy adventure story spanning seven books and over a million words. Are you looking for a world to get lost in? The Seven Isles awaits."
45,5,1,5,"GE Lighting Cync Full Color Direct Connect A19 LED Smart Light Bulbs with Bluetooth and Wi-Fi, 60W Replacement, Alexa + Google Home Compatible Without Hub, 2-Pack (New for 2021)",23.99,"Smart bulbs that work with Alexa: Select Frustration Free Setup at checkout to have your device automatically paired with your Amazon Alexa device when it arrives.
Wi-Fi light bulbs: Easily connect these smart light bulbs directly to your Wi-Fi router, providing voice control for your Cync and C by GE smart bulbs through voice assistants (sold separately) and control away from home - no hub or bridge required.
Manage your smart bulbs away from home: Get added home security and convenience by controlling your Wi-Fi light bulbs with the Cync mobile app. With these Cync smart lights, never come home to a dark house or disrupt your comfort from bed.
Color changing light bulbs with app: Millions of colors change kids' rooms with their interests, create next level movie nights, and support your team on game day. Adjust the smart bulbs' white to any color between warm, amber and cool, bluish tones.
LED smart bulbs: These smart lights fit medium base sockets for 60W incandescent A19 bulbs, helping make your house a smart home. These smart LED light bulbs use 84% less energy and last 15 times longer than a 60W incandescent bulbs."
46,5,1,5,"C by GE 4-Wire Smart Dimmer Switch with Bluetooth and Wi-Fi, Neutral Wire Required, Compatible with Google Home and Alexa, 1-Pack (Packaging May Vary)",46.01,"Upgrade your smart home: The C by GE Smart Switch Dimmer allows you to control your lights through touch, the Cync mobile app, or voice assistant. With Google Home or Alexa (sold separately), dimmer switches from C by GE make light control easy.
C by GE Smart Light Switch Dimmer: Get convenience and comfort with your smart bulbs and dimmer switch always being ready to respond. With enhanced functionality like out of home control and scheduling, you will never come home to a dark house.
Alexa and Google Home Compatible: Cync and C by GE smart bulbs and the smart switch dimmer work with voice and app control at all times, even when the wall switch is turned off.
Make traditional light bulbs smart bulbs: The C by GE smart dimmer allows you to easily make your light bulbs compatible with Google Home or Amazon Alexa when paired with your smart devices.
A smart dimmer switch for LED lights and more: Set scenes to match your mood by controlling the dimmer switch with the Cync mobile app, touch, or voice assistant to control brightness level. Works with LED, incandescent, halogen, and CFL bulbs."
47,5,1,5,"Smart Dimmer Switch, Single-Pole Smart Switch for Dimmable Bulbs, Treatlife 2.4GHz WiFi Smart Light Switch Works with Alexa and Google Home, Remote Control, Neutral Wire Required",24.99,"[0%-100% Dimmable & Memory Function]: Adjust the light dimming range to a certain percentage by moving your finger up or down or via app or a voice, the smart switch can remember and turn back to the last setting after powered off. Use for non smart but dimmable LED 150W Max, Halogens/Incandescent 400W Max, CFL 150W Max bulbs.
[Hands-free & Voice Control]: The dimmer smart switch works with Alexa & Google Home Assistant to conveniently control the light with the simple voice command while your hands are full or when it is dark in your room. No Hub required.
[Smart APP & Remote Control]: Manage your house’s lighting via APP on your smart phone from anywhere at anytime. Ideal for when you're away from home or when you are sitting on your cozy sofa or comfortable bed.
[Light Schedules & Group Control]: Create schedules to automatically turn the light on or off with the preset brightness at specific times. You can also share the App with your family members to control the switch.
[Note]: Neutral Wire is needed.Only suitable for single-pole (Not 3-way), 2.4GHz wifi (Not 5GHz). The standard size fits any standard multi-gang wall panel. The installation tutorial will guide you through the wiring process.Any problem, please feel free to contact us via Amazon."
48,5,1,5,"Govee Smart Light Bars, RGBICWW Smart LED Lights with 12 Scene Modes and Music Modes, Bluetooth Color Light Bar for Entertainment, PC, TV, Room Decoration",47.59,#NAME?
49,5,1,5,"Govee Under Lights for Cars, Dimmable RGB Exterior Car LED Lights with 32 Colors, 7 Scene Modes and Music Mode, 2 Lines Design Car Underglow Lights with Remote Control for SUVs, Trucks, DC 12-24V",29.99,"Vivid Color Options: 32 colors available for your exterior car led strip lights makes your vehicle stand out in style. Your driving experience will never be the same
-7 Scene Modes: Govee under lights for car offer 7 dynamic scenes modes, helping to transform your car decor and driving experience for spontaneous road trips or weekend get-aways.
-Control with Ease: With the provided remote controller, you can power your underglow car lights on, change colors and brightness, switch the scene modes among 7 options at random at the touch of a button.
-Simple to Install: A flexible strip design makes installing the under lights to your suvs and trucks a breeze. With adhesive, clips, cable ties and screws, your exterior car lights are flexible to stick stable.
-2 Lines Design: Govee underglow lights are equipped with 2 lines connecting 4 strip lights. 2 x 35 inch + 2 x 47 inch light strips design make them suitable for your cars, trucks, and suvs."
50,5,1,5,"DAYBETTER Smart WiFi Led Lights 100ft, Tuya App Controlled Led Strip Lights, Work with Alexa and Google Assistant, Timer Schedule Led Lights Strip, Color Changing Led Lights for Bedroom Party Kitchen",34.99,"App & remote control : Download the tuya APP, you can control the smart WiFi led strip lights anywhere with your mobile phone ; Nomatter you are working in the office or on vacation; Also you can use group function to create a group for multiple led strips, and then activate them all with one click (2.4GHz Wi-Fi only)
-Voice control : Our smart strip lights can work with Alexa and Google home assistant; You can easily turn on/off the light, change the light color, dim the brightness with a simple voice command; No hub required easy to install and no need subscription.
-Timer & schedule : You can schedule the smart led strip automatically switch on/off via your phone app; And you also can set a countdown timer; Set the wifi led lights turn on or off at a specific time; Turn all lights on the moment you back home, turn all lights off when you are away from home.
-Led lights sync to music : Our wifi led strip lights can change color and sync with music ; It have multi-music mode, which will change to follow the rhythm or the melody; This music light strip can even respond to your voice which make the light “dance” to the beat.
-Easy to install and use: Our rgb led strip is easy to cut, It can be cut every 3 leds along with the cutting marks, without damaging the rest of the strip; our flexible pcb strips can be bent to different patterns, our led light strips for bedroom has a working voltage of 12V and are equipped with short circuit protection."
51,5,1,5,"Microsoft 365 Family | 12-Month Subscription, up to 6 people | Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download",99.99,"-With 12 months of Microsoft 365 for up to six people, you and your family can have the tools to create, organize, and get things done.
Bring out your best with premium Office apps, including Word, Excel, and PowerPoint.
-Your subscription includes 1 TB of OneDrive cloud storage for each person you share with, so they can easily access, edit, and share files and photos across all devices.
-Keep it all together with Outlook, an ad‑free app for your email, calendars, to do lists and contacts with security tools that keep your information protected.
-Empower your family with advanced features in the Family Safety mobile app.
-Protect your files with advanced security features like built‑in ransomware detection and recovery and you can use two‑step identity verification to access your most important files in OneDrive Personal Vault.
-Gives you the flexibility to use multiple PCs, Macs, iPads, iPhones and Android phones."
52,5,1,5,HP Instant Ink $5 Prepaid Code - Ink and toner subscription service for home printing,5,"NEVER RUN OUT AND SAVE UP TO 50% ON ORIGINAL HP INK – with HP's hassle-free, money-saving ink subscription service.
-$5 PREPAID CODE – Your prepaid code is delivered via email and credited to your Instant Ink account once you enroll. Cartridges arrive within 14 days of account setup.
-PRINT A LITTLE OR A LOT – Plans start at $0.99/month and include recycling. Pick a plan based on how often you print, not how much ink you use.
-AUTOMATIC DELIVERY – You will receive ink or toner when your printer runs low, not necessarily every month.
-PLAN FLEXIBILITY – Print more or less? Unused pages roll over and extra pages cost pennies. Plus, you can change or cancel your plan at any time.
-ELIGIBLE CARTRIDGES – HP Instant Ink works with Original HP 62, 63, 64, 65, 67, 902, 910, 952, 962 Ink and Original HP 134 Toner"
53,5,1,5,HP 60XL | Ink Cartridge | Black | CC641WN,51.89,"-HP 60 ink cartridges work with: HP Deskjet D2530, D2545, F2430, F4224, F4440, F4480, HP ENVY 100, 110, 111, 114, 120 HP Photosmart C4640, C4650, C4680, C4780, C4795, D110
-Get up to 2x the pages with Original HP XL ink cartridges compared to standard cartridges
-Cartridge yield (approx): 600 pages
-Original HP ink cartridges: genuine ink for your HP printer
-What's in the box: 1 New Original HP 60XL ink cartridge (CC641WN)
-Color: Black
"
54,5,1,5,ATOPolyjet Remanufactured Ink Cartridge Replacement for HP 60 XL 60XL Black Color Fit for PhotoSmart C4680 C4780 C4795 D110a DeskJet F4480 D2530 F4280 F4580 F2430 D2660 Envy 120 100 110 114 Printer,29.99,"High Yield: 660 Pages per 60XL Black Ink Cartridge , 450 Pages per 60XL Color Ink Cartridge at 5% coverage
Package Contents: 1 Black + 1 Tri-Color Remanufactured Ink Cartridge Replacement for HP Ink Cartridge 60. All ATOPolyjet remanufactured 60XL Ink Cartridge Combo Pack Color and Black adopt premium ink, which have been tested to ensure full working condition and a superb quality prints."
55,5,1,5,Night Light Projector Gifts for Kids: DEVRNEZ 360 Degree Rotating Moon Star Nightlight for Age 2-12 Baby Girls Boys for Bedroom Christmas Stocking Stuffers|Party and Birthday Toys Gifts (Black),12.96,"-Christmas Star Moon Night Lights Projector: DEVRNEZ night lamp is wonderful, bringing kids into a vast universe to appreciate the colorful moon and stars flying around the rooms. Funny enjoy the sky, satisfy their curiosity of universe and cultivate unlimited imagination.
-8 Colors Changing Modes: More colourful color changing with built-in 4 upgraded Led lamp beads and have last long lifetime. 360 degree rotatable, provides a fantastic moving starry sky.
-Baby Nursery Sleeping Lights: Covered with a dome cover, the starlight projector can be used as a nightlight that emits a soft warm white light and working without noise and glaring. Drive away the darkness of kids' room and coax the baby to fall into a deep sleep quickly.
-2 Power Ways and Child-safe: The kid night lights can be powered by 4 x AAA battery (Not Included) or USB cable. But the 2 power ways can't use at the same time. Our baby night light is made of non-toxic material, kids can take it anywhere which can provide the warm light for kids to walk through the hallway to bathroom and go back to bedroom.
-Ideal Gifts for Kids: Great Christmas gifts stocking fillers for boys and girls babies on birthday, Christmas, and Children's Day. The 360-degree rotating star lighting lamp is also an ideal decoration for birthday parties, festival celebrations, and so on, helping to create a warm and romantic atmosphere."
56,2,4,10,"PG Tips Pyramid Bags, Premium Black Tea, 80 ct",9.99,"-PG tips is England's No. 1 Tea
-The eighth wonder of the world pyramid bag acts like a mini teapot, giving the tea leaves room to move so you can get even more out of the great PG tips flavor.
-PG tips Black Tea Pyramid Tea Bags feature a popular British blend of the finest Assam, Ceylon and Kenyan teas which produces a rich and refreshing flavor.
-PG tips pyramid bags are fully Rainforest Alliance Certified, so when you choose PG Tips, you're helping us help the environment, tea farmers, and their families.
-How to brew: 1 bag per cup, add freshly boiled water, and brew 1 to 3 minutes to your desired strength."
57,2,4,10,Lipton Tea Bags For A Naturally Smooth Taste Black Tea Iced or Hot Tea ,12.17,"-Lipton Black Tea Bags can help support a healthy heart.
-Our Lipton Black Tea pack contains 400 tea bags that come as 2 boxes of 200 tea bags.
-All our tea leaves are picked at the peak of freshness for a naturally smooth taste.
-Lipton Black Tea is sustainably sourced, made with only 100% Rainforest Alliance certified tea bags.
-Get the best from your brew in 2 minutes, adding the tea bag first then water, so the leaves can unleash their flavor. Brew as a hot tea or pour over ice for a refreshing iced tea beverage.
-With 55 mg per 8-ounce serving, Lipton Black Tea contains 60% less caffeine than coffee."
58,2,4,10,"Lipton Iced Tea Mix for a delicious refreshment Peach Sweetened with Real Cane Sugar 100% Real Tea Leaves 100% Sustainable Sourced 10 qt, 23.6 Oz(6 Pack)",22.89,"-Made with the sweet flavor of peaches, this tea has the delicious taste of summer in every glass.
-Pack of six 10-quart cans.
-100% natural, no added preservatives and colorings.
-Thirst-quenching and delicious, this iced tea mix is brewed from real tea leaves.
-Combine iced tea mix as per your taste with 8 fl oz water and get instant refreshment any time."
